bacru	x1 utters verbally/says/phonates/speaks [vocally makes sound] x2.	- utter
badna	x1 is a banana/plantain [fruit/plant] of species/breed x2.	- plantain; banana<br>- banana; fruit or plant
badri	x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction).	- dejected<br>- sad<br>- depressed; sad
bajra	x1 runs on surface x2 using limbs x3 with gait x4.	- run
bakfu	x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3.	- bundle
bakni	x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2.	- bovine
bakri	x1 is a quantity of/contains/is made of chalk from source x2 in form x3.	- chalk
baktu	x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3.	- bucket
balji	x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy].	- bulb
balni	x1 is a balcony/overhang/ledge/shelf of building/structure x2.	- balcony
balre	x1 is a blade of tool/weapon x2.	- blade
balvi	x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former.	- future; unspecified
bancu	x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni).	- is beyond
bandu	x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event).	- protect<br>- defend; non-agentive
banfi	x1 is an amphibian of species/breed x2.	- amphibian
bangu	x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote).	- language
banli	x1 is great/grand in property x2 (ka) by standard x3.	- great
banro	x1 grows/expands [an increasing development] to size/into form x2 from x3.	- grow
banxa	x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event).	- bank
banzu	x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3.	- sufficient; for purpose<br>- enough; for purpose<br>- suffice
bapli	x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest.	- effective; having the power to produce effects<br>- force
barda	x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3.	- big<br>- large
bargu	x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3.	- arch; shape
barja	x1 is a tavern/bar/pub serving x2 to audience/patrons x3.	- bar; place
